planner_type,success,time_sec,iterations,nodes,classical_calls,classical_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,selected_rank_total,avg_selected_rank,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,candidate_count,top_k
crrt_grid,True,4.48527941480279,28,21,22,19,6,0,5,3,0,0,1725,22,78.4090909090909,85,3.8636363636363638,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",1,2000,0.1,0.0,512,8
crrt_grid,True,11.971536020981148,109,61,78,59,31,0,10,19,0,0,6098,78,78.17948717948718,334,4.282051282051282,13,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",2,2000,0.1,0.0,512,8
crrt_grid,True,8.614699389087036,80,44,56,42,24,0,11,14,0,0,4226,56,75.46428571428571,236,4.214285714285714,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",3,2000,0.1,0.0,512,8
crrt_grid,True,27.896228892961517,438,143,314,141,124,0,41,173,0,0,23643,314,75.29617834394904,1454,4.630573248407643,13,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",4,2000,0.1,0.0,512,8
crrt_grid,True,10.562332842033356,68,39,48,37,20,0,4,11,0,0,3806,48,79.29166666666667,198,4.125,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",5,2000,0.1,0.0,512,8
crrt_grid,True,11.701249133097008,135,67,97,65,38,0,14,32,0,0,7187,97,74.09278350515464,430,4.43298969072165,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",6,2000,0.1,0.0,512,8
crrt_grid,True,8.26196498493664,50,32,38,30,12,0,6,8,0,0,3027,38,79.65789473684211,154,4.052631578947368,10,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",7,2000,0.1,0.0,512,8
crrt_grid,True,6.851957282982767,48,30,33,28,15,0,4,5,0,0,2571,33,77.9090909090909,119,3.606060606060606,10,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",8,2000,0.1,0.0,512,8
crrt_grid,True,4.054146073991433,36,17,21,15,15,0,6,6,0,0,1660,21,79.04761904761905,102,4.857142857142857,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",9,2000,0.1,0.0,512,8
crrt_grid,True,6.563037886051461,55,30,37,28,18,0,8,9,0,0,2915,37,78.78378378378379,164,4.4324324324324325,12,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",10,2000,0.1,0.0,512,8
