planner_type,success,time_sec,iterations,nodes,classical_calls,classical_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,selected_score_total,avg_selected_score,initial_score_total,marked_set_size_total,improvement_rounds_total,classical_improvements,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,candidate_count,target_weight,goal_weight,best_rounds,score_margin
crrt_matched_score,True,22.776811962015927,87,67,65,65,22,0,9,0,0,0,4236,65,65.16923076923077,71.75581182914297,1.1039355666021995,-37.93935125332553,3905,178,65,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",1,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,16.429036310873926,63,43,41,41,22,0,4,0,0,0,2702,41,65.90243902439025,51.45119322125787,1.2549071517379968,-8.04251335717955,2015,97,40,13,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",2,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,9.742724261945114,44,36,34,34,10,0,8,0,0,0,2433,34,71.55882352941177,43.97866187090292,1.2934900550265565,-6.080949989962387,1905,87,34,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",3,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,21.590810445137322,91,73,71,71,20,0,7,0,0,0,4877,71,68.69014084507042,85.63501642604842,1.206126991916175,-19.080403123194728,4039,188,71,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",4,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,16.640559842810035,95,66,64,64,31,0,7,0,0,0,4395,64,68.671875,70.46278222984711,1.100980972341361,-38.84724341846215,4567,170,64,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",5,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,9.020864077843726,46,32,30,30,16,0,3,0,0,0,2117,30,70.56666666666666,40.11268859592843,1.337089619864281,-1.7077837013966708,1504,80,30,13,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",6,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,12.778548107016832,55,43,41,41,14,0,8,0,0,0,2794,41,68.14634146341463,46.539788995348985,1.1351168047646094,-10.664961707893028,2166,108,40,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",7,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,10.455301412846893,55,39,37,37,18,0,6,0,0,0,2348,37,63.45945945945946,42.83229703607661,1.1576296496236922,-9.923174463923559,1844,96,37,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",8,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,6.844109405064955,42,27,25,25,17,0,8,0,0,0,1700,25,68.0,36.248232653465436,1.4499293061386174,-7.91722510380896,1416,64,24,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",9,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,12.163145809900016,55,38,36,36,19,0,8,0,0,0,2588,36,71.88888888888889,47.12587127453778,1.3090519798482716,-13.327530484848609,2610,91,35,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",10,2000,0.1,0.0,128,1.0,1.0,3,0.0
