iteration,goal_sampled,candidate_count,chosen_idx,chosen_rank,accepted,rejection_reason,tree_nodes
1,False,83,"(5, 5, 6, 5, 5, 6)",4,True,,2
2,False,80,"(5, 4, 6, 5, 4, 6)",8,True,,3
3,False,83,"(5, 5, 5, 5, 4, 6)",1,True,,4
4,False,0,,,False,invalid_random_target,4
5,False,61,"(5, 5, 7, 5, 4, 6)",8,True,,5
6,False,0,,,False,invalid_random_target,5
7,False,61,"(5, 4, 6, 5, 2, 6)",2,True,,6
8,False,0,,,False,invalid_random_target,6
9,False,51,"(5, 4, 6, 5, 2, 7)",3,True,,7
10,False,83,"(5, 5, 5, 6, 4, 5)",7,True,,8
11,True,49,"(5, 5, 6, 5, 2, 7)",2,True,,9
12,False,0,,,False,invalid_random_target,9
13,False,80,"(5, 5, 6, 5, 4, 6)",4,True,,10
14,False,51,"(5, 5, 6, 5, 2, 7)",1,False,duplicate,10
15,False,61,"(5, 4, 6, 4, 3, 6)",6,True,,11
16,False,43,"(5, 5, 7, 5, 3, 6)",3,True,,12
17,False,72,"(5, 5, 7, 5, 2, 8)",2,True,,13
18,False,83,"(5, 5, 5, 5, 3, 5)",7,True,,14
19,False,83,"(5, 5, 5, 5, 3, 5)",2,False,duplicate,14
20,False,33,"(5, 5, 7, 5, 3, 7)",2,True,,15
21,False,0,,,False,invalid_random_target,15
22,True,72,"(5, 5, 7, 5, 2, 7)",1,True,,17
