iteration,goal_sampled,candidate_count,chosen_idx,chosen_rank,accepted,rejection_reason,tree_nodes
1,False,0,,,False,invalid_random_target,1
2,False,32,"(4, 5, 5, 5, 5, 6)",7,True,,2
3,False,32,"(4, 5, 5, 5, 5, 6)",7,False,duplicate,2
4,False,0,,,False,invalid_random_target,2
5,False,0,,,False,invalid_random_target,2
6,False,32,"(5, 5, 5, 5, 5, 6)",4,True,,3
7,False,32,"(4, 5, 5, 5, 4, 6)",2,True,,4
8,False,32,"(5, 5, 5, 5, 3, 6)",1,True,,5
9,False,0,,,False,invalid_random_target,5
10,False,32,"(4, 5, 5, 5, 4, 5)",3,True,,6
11,False,32,"(5, 5, 6, 5, 5, 6)",3,True,,7
12,False,32,"(5, 5, 6, 5, 3, 6)",1,True,,8
13,False,32,"(5, 5, 5, 5, 4, 6)",1,True,,9
14,False,32,"(5, 5, 6, 6, 5, 6)",8,True,,10
15,False,0,,,False,invalid_random_target,10
16,False,32,"(4, 5, 6, 5, 4, 5)",5,True,,11
17,False,0,,,False,invalid_random_target,11
18,False,32,"(5, 5, 6, 5, 3, 5)",2,True,,12
19,False,32,"(4, 5, 5, 5, 4, 5)",3,False,duplicate,12
20,True,32,"(5, 5, 6, 4, 3, 6)",8,True,,13
21,False,32,"(5, 5, 5, 6, 4, 6)",7,True,,14
22,False,0,,,False,invalid_random_target,14
23,True,32,"(5, 5, 6, 6, 3, 6)",7,True,,15
24,False,0,,,False,invalid_random_target,15
25,False,32,"(4, 5, 5, 5, 4, 6)",3,False,duplicate,15
26,False,0,,,False,invalid_random_target,15
27,False,32,"(4, 5, 6, 6, 4, 6)",3,True,,16
28,True,32,"(6, 5, 6, 5, 2, 6)",5,True,,17
29,False,0,,,False,invalid_random_target,17
30,False,32,"(5, 5, 5, 5, 4, 5)",1,True,,18
31,False,0,,,False,invalid_random_target,18
32,False,32,"(5, 5, 6, 5, 5, 6)",4,False,duplicate,18
33,False,32,"(6, 5, 5, 5, 4, 5)",2,True,,19
34,False,32,"(5, 5, 5, 6, 4, 5)",7,True,,20
35,False,32,"(5, 5, 6, 6, 4, 6)",1,True,,21
36,False,0,,,False,invalid_random_target,21
37,False,32,"(5, 5, 6, 5, 5, 5)",5,True,,22
38,False,32,"(4, 5, 5, 5, 5, 6)",7,False,duplicate,22
39,False,32,"(6, 5, 5, 5, 4, 5)",2,False,duplicate,22
40,False,0,,,False,invalid_random_target,22
41,False,32,"(5, 5, 5, 5, 5, 6)",7,False,duplicate,22
42,False,32,"(6, 5, 7, 5, 5, 5)",7,True,,23
43,False,0,,,False,invalid_random_target,23
44,False,32,"(5, 5, 6, 6, 4, 6)",1,False,duplicate,23
45,False,32,"(6, 5, 6, 5, 4, 5)",6,True,,24
46,False,32,"(5, 5, 5, 5, 4, 6)",1,False,duplicate,24
47,False,32,"(4, 5, 6, 5, 5, 6)",4,True,,25
48,False,0,,,False,invalid_random_target,25
49,False,32,"(4, 5, 5, 5, 4, 6)",3,False,duplicate,25
50,False,32,"(5, 5, 6, 5, 3, 5)",2,False,duplicate,25
51,False,32,"(6, 5, 6, 6, 4, 6)",2,True,,26
52,False,32,"(6, 5, 6, 5, 4, 5)",6,False,duplicate,26
53,False,0,,,False,invalid_random_target,26
54,False,0,,,False,invalid_random_target,26
55,False,32,"(5, 5, 6, 5, 3, 6)",3,False,duplicate,26
56,False,0,,,False,invalid_random_target,26
57,False,32,"(5, 5, 5, 5, 4, 6)",1,False,duplicate,26
58,False,32,"(5, 5, 7, 5, 4, 5)",5,True,,27
59,False,0,,,False,invalid_random_target,27
60,False,32,"(4, 5, 5, 5, 4, 6)",3,False,duplicate,27
61,False,32,"(4, 5, 6, 5, 5, 6)",6,False,duplicate,27
62,False,32,"(5, 5, 6, 5, 4, 5)",2,True,,28
63,False,32,"(6, 5, 6, 5, 3, 6)",2,True,,29
64,False,32,"(5, 5, 5, 5, 4, 6)",6,False,duplicate,29
65,False,32,"(6, 5, 6, 5, 2, 7)",3,True,,30
66,False,32,"(6, 5, 6, 5, 3, 5)",4,True,,31
67,False,0,,,False,invalid_random_target,31
68,True,32,"(5, 5, 7, 5, 2, 7)",1,True,,33
