iteration,goal_sampled,candidate_count,chosen_idx,chosen_rank,accepted,rejection_reason,tree_nodes
1,False,83,"(4, 5, 5, 5, 4, 5)",4,True,,2
2,False,83,"(4, 5, 5, 6, 5, 5)",8,True,,3
3,False,82,"(4, 5, 5, 6, 4, 4)",1,True,,4
4,False,0,,,False,invalid_random_target,4
5,False,83,"(4, 5, 5, 6, 5, 5)",8,False,duplicate,4
6,False,0,,,False,invalid_random_target,4
7,False,83,"(5, 5, 5, 6, 4, 5)",3,True,,5
8,False,0,,,False,invalid_random_target,5
9,False,82,"(5, 5, 5, 6, 4, 3)",4,True,,6
10,False,83,"(4, 5, 5, 5, 5, 4)",7,True,,7
11,True,83,"(4, 5, 6, 6, 3, 4)",4,True,,8
12,False,0,,,False,invalid_random_target,8
13,False,82,"(4, 5, 6, 6, 4, 5)",4,True,,9
14,False,77,"(4, 5, 6, 6, 2, 3)",1,True,,10
15,False,82,"(5, 5, 5, 7, 4, 4)",6,True,,11
16,False,83,"(4, 5, 5, 5, 4, 5)",4,False,duplicate,11
17,False,82,"(4, 5, 5, 6, 3, 5)",3,True,,12
18,False,82,"(5, 5, 5, 7, 3, 5)",7,True,,13
19,False,82,"(4, 5, 5, 6, 3, 5)",2,False,duplicate,13
20,False,72,"(4, 5, 6, 8, 2, 3)",4,True,,14
21,False,0,,,False,invalid_random_target,14
22,True,80,"(3, 5, 6, 8, 2, 2)",1,True,,15
23,True,71,"(3, 6, 7, 8, 2, 2)",3,True,,16
24,True,70,"(2, 6, 7, 8, 2, 2)",2,True,,17
25,False,0,,,False,invalid_random_target,17
26,False,80,"(3, 5, 6, 8, 1, 3)",2,True,,18
27,False,83,"(4, 5, 6, 6, 4, 3)",6,True,,19
28,True,42,"(2, 6, 7, 9, 1, 2)",2,True,,20
29,False,0,,,False,invalid_random_target,20
30,False,0,,,False,invalid_random_target,20
31,False,82,"(4, 5, 6, 5, 4, 4)",4,True,,21
32,False,82,"(5, 5, 5, 8, 3, 4)",8,True,,22
33,False,0,,,False,invalid_random_target,22
34,False,0,,,False,invalid_random_target,22
35,False,0,,,False,invalid_random_target,22
36,False,83,"(5, 5, 5, 6, 3, 2)",8,True,,23
37,False,82,"(4, 5, 5, 6, 5, 3)",6,True,,24
38,False,0,,,False,invalid_random_target,24
39,False,0,,,False,invalid_random_target,24
40,False,82,"(5, 5, 5, 6, 2, 5)",5,True,,25
41,False,82,"(4, 5, 5, 6, 3, 5)",2,False,duplicate,25
42,False,82,"(4, 5, 5, 6, 4, 4)",2,False,duplicate,25
43,False,73,"(4, 5, 7, 6, 4, 4)",8,True,,26
44,False,0,,,False,invalid_random_target,26
45,False,0,,,False,invalid_random_target,26
46,False,83,"(4, 5, 5, 5, 4, 5)",4,False,duplicate,26
47,False,76,"(4, 5, 6, 6, 3, 4)",1,False,duplicate,26
48,True,42,"(2, 6, 7, 8, 2, 3)",5,True,,27
49,False,82,"(4, 5, 5, 6, 5, 3)",6,False,duplicate,27
50,False,71,"(2, 6, 6, 8, 2, 2)",5,True,,28
51,False,82,"(4, 5, 6, 7, 5, 3)",8,True,,29
52,False,82,"(4, 5, 5, 5, 3, 4)",1,True,,30
53,False,83,"(4, 5, 5, 5, 4, 5)",4,False,duplicate,30
54,False,0,,,False,invalid_random_target,30
55,False,82,"(4, 5, 6, 6, 3, 4)",4,False,duplicate,30
56,False,83,"(5, 5, 5, 5, 4, 4)",1,True,,31
57,False,83,"(5, 5, 5, 6, 5, 4)",5,True,,32
58,False,83,"(4, 5, 6, 6, 2, 5)",7,True,,33
59,True,42,"(2, 6, 6, 8, 1, 2)",4,True,,34
60,False,0,,,False,invalid_random_target,34
61,False,82,"(5, 5, 5, 6, 2, 3)",2,True,,35
62,False,81,"(4, 6, 5, 6, 2, 3)",7,True,,36
63,False,0,,,False,invalid_random_target,36
64,False,62,"(4, 5, 6, 6, 1, 4)",4,True,,37
65,False,0,,,False,invalid_random_target,37
66,False,83,"(5, 5, 5, 7, 4, 4)",4,False,duplicate,37
67,False,0,,,False,invalid_random_target,37
68,False,83,"(5, 5, 6, 5, 4, 5)",6,True,,38
69,False,82,"(4, 5, 5, 6, 4, 4)",1,False,duplicate,38
70,False,83,"(4, 5, 5, 5, 5, 4)",7,False,duplicate,38
71,False,80,"(2, 5, 6, 8, 2, 3)",5,True,,39
72,False,78,"(5, 5, 6, 5, 4, 3)",7,True,,40
73,False,0,,,False,invalid_random_target,40
74,True,42,"(2, 6, 7, 9, 1, 2)",2,False,duplicate,40
75,False,74,"(4, 6, 6, 7, 4, 3)",6,True,,41
76,False,83,"(5, 5, 5, 5, 3, 5)",2,True,,42
77,False,0,,,False,invalid_random_target,42
78,False,82,"(4, 5, 5, 5, 3, 4)",1,False,duplicate,42
79,False,83,"(4, 5, 5, 5, 5, 4)",7,False,duplicate,42
80,False,83,"(4, 5, 6, 6, 2, 5)",7,False,duplicate,42
81,False,82,"(4, 5, 5, 7, 5, 4)",7,True,,43
82,False,79,"(5, 5, 6, 5, 2, 3)",4,True,,44
83,False,73,"(4, 5, 6, 5, 3, 3)",2,True,,45
84,False,83,"(5, 5, 5, 5, 4, 4)",1,False,duplicate,45
85,False,83,"(5, 5, 5, 6, 5, 4)",5,False,duplicate,45
86,False,82,"(4, 5, 5, 7, 4, 5)",6,True,,46
87,True,42,"(2, 6, 7, 9, 2, 2)",7,True,,47
88,False,0,,,False,invalid_random_target,47
89,False,0,,,False,invalid_random_target,47
90,False,83,"(5, 5, 5, 6, 4, 5)",3,False,duplicate,47
91,False,0,,,False,invalid_random_target,47
92,False,82,"(4, 5, 5, 6, 4, 4)",2,False,duplicate,47
93,False,0,,,False,invalid_random_target,47
94,False,82,"(5, 5, 5, 5, 2, 4)",5,True,,48
95,False,0,,,False,invalid_random_target,48
96,False,82,"(5, 5, 6, 8, 2, 4)",7,True,,49
97,False,83,"(4, 5, 5, 7, 5, 4)",8,False,duplicate,49
98,False,74,"(4, 5, 6, 7, 3, 3)",1,True,,50
99,False,0,,,False,invalid_random_target,50
100,False,79,"(5, 5, 6, 5, 2, 3)",4,False,duplicate,50
101,False,82,"(4, 5, 6, 5, 3, 5)",8,True,,51
102,True,42,"(2, 6, 7, 7, 1, 2)",3,True,,52
103,False,83,"(5, 5, 5, 6, 5, 4)",5,False,duplicate,52
104,False,0,,,False,invalid_random_target,52
105,False,79,"(5, 5, 6, 6, 3, 3)",1,True,,53
106,False,82,"(3, 5, 5, 5, 4, 4)",5,True,,54
107,False,0,,,False,invalid_random_target,54
108,False,74,"(4, 5, 6, 7, 4, 3)",7,True,,55
109,False,82,"(3, 5, 5, 7, 3, 5)",7,True,,56
110,False,83,"(4, 7, 6, 7, 3, 3)",7,True,,57
111,False,82,"(4, 5, 6, 7, 4, 4)",6,True,,58
112,False,82,"(4, 5, 5, 6, 4, 4)",2,False,duplicate,58
113,False,82,"(4, 6, 5, 6, 4, 3)",6,True,,59
114,False,82,"(4, 5, 5, 6, 4, 4)",2,False,duplicate,59
115,False,0,,,False,invalid_random_target,59
116,False,82,"(4, 5, 5, 7, 5, 4)",7,False,duplicate,59
117,False,82,"(4, 5, 5, 6, 4, 4)",1,False,duplicate,59
118,False,0,,,False,invalid_random_target,59
119,False,79,"(5, 5, 6, 5, 3, 2)",7,True,,60
120,False,0,,,False,invalid_random_target,60
121,False,77,"(4, 5, 6, 6, 3, 2)",1,True,,61
122,True,42,"(2, 6, 7, 7, 1, 2)",3,False,duplicate,61
123,False,82,"(4, 5, 6, 8, 3, 4)",3,True,,62
124,False,0,,,False,invalid_random_target,62
125,True,42,"(2, 6, 7, 8, 2, 3)",5,False,duplicate,62
126,False,72,"(4, 5, 6, 7, 2, 2)",2,True,,63
127,False,0,,,False,invalid_random_target,63
128,True,42,"(2, 6, 7, 7, 1, 2)",3,False,duplicate,63
129,True,42,"(2, 6, 7, 8, 1, 1)",1,True,,64
130,False,0,,,False,invalid_random_target,64
131,False,0,,,False,invalid_random_target,64
132,False,0,,,False,invalid_random_target,64
133,False,82,"(4, 5, 5, 6, 4, 4)",2,False,duplicate,64
134,False,81,"(3, 5, 5, 6, 4, 3)",4,True,,65
135,False,0,,,False,invalid_random_target,65
136,False,82,"(4, 5, 5, 5, 3, 4)",1,False,duplicate,65
137,False,82,"(3, 5, 5, 5, 4, 4)",5,False,duplicate,65
138,True,42,"(2, 6, 7, 7, 1, 2)",3,False,duplicate,65
139,False,0,,,False,invalid_random_target,65
140,False,74,"(4, 6, 6, 6, 3, 3)",6,True,,66
141,False,73,"(3, 5, 6, 5, 3, 4)",6,True,,67
142,False,78,"(4, 5, 6, 5, 4, 4)",4,False,duplicate,67
143,False,81,"(5, 5, 6, 8, 2, 2)",7,True,,68
144,False,74,"(4, 5, 6, 8, 4, 3)",5,True,,69
145,False,82,"(4, 5, 6, 5, 4, 4)",7,False,duplicate,69
146,False,83,"(5, 5, 5, 6, 4, 5)",3,False,duplicate,69
147,False,83,"(5, 5, 5, 6, 5, 4)",5,False,duplicate,69
148,False,82,"(4, 5, 5, 6, 4, 4)",2,False,duplicate,69
149,False,0,,,False,invalid_random_target,69
150,False,0,,,False,invalid_random_target,69
151,False,74,"(4, 5, 6, 7, 4, 4)",8,False,duplicate,69
152,True,42,"(2, 6, 7, 9, 1, 2)",2,False,duplicate,69
153,False,82,"(4, 5, 5, 6, 4, 4)",2,False,duplicate,69
154,False,82,"(4, 5, 5, 6, 2, 2)",1,True,,70
155,False,64,"(3, 5, 6, 6, 2, 4)",2,True,,71
156,False,82,"(4, 5, 5, 6, 5, 3)",6,False,duplicate,71
157,False,83,"(5, 5, 6, 5, 4, 5)",6,False,duplicate,71
158,False,82,"(4, 5, 5, 5, 3, 4)",1,False,duplicate,71
159,False,62,"(4, 5, 7, 6, 2, 4)",3,True,,72
160,False,83,"(4, 5, 5, 5, 4, 5)",4,False,duplicate,72
161,False,0,,,False,invalid_random_target,72
162,False,78,"(4, 5, 6, 6, 4, 5)",6,False,duplicate,72
163,False,76,"(4, 5, 6, 7, 4, 4)",4,False,duplicate,72
164,False,0,,,False,invalid_random_target,72
165,False,0,,,False,invalid_random_target,72
166,False,0,,,False,invalid_random_target,72
167,False,81,"(3, 5, 5, 7, 4, 4)",5,True,,73
168,False,82,"(4, 5, 5, 6, 4, 3)",7,True,,74
169,False,0,,,False,invalid_random_target,74
170,False,81,"(3, 6, 5, 7, 3, 4)",6,True,,75
171,False,83,"(5, 5, 5, 6, 4, 3)",3,False,duplicate,75
172,False,75,"(3, 5, 6, 5, 2, 3)",3,True,,76
173,False,0,,,False,invalid_random_target,76
174,False,0,,,False,invalid_random_target,76
175,False,81,"(3, 5, 6, 7, 3, 4)",3,True,,77
176,True,42,"(2, 6, 7, 8, 1, 1)",1,False,duplicate,77
177,False,81,"(3, 5, 5, 5, 3, 3)",2,True,,78
