planner_type,success,time_sec,iterations,nodes,quantum_calls,quantum_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,marked_set_size_total,grover_rounds_total,avg_marked_set_size,initial_score_total,selected_score_total,avg_initial_score,avg_selected_score,grover_improvements,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,quantum_candidates,quantum_iters,quantum_shots,quantum_use_ibm,quantum_backend,quantum_target_weight,quantum_goal_weight,quantum_best_rounds,quantum_score_margin
qrrt_grid,True,25.6492524119094,87,67,65,65,22,0,9,0,0,0,4361,65,67.0923076923077,2891,132,21.901515151515152,-7.779014394019782,52.10309126990938,-0.11967714452338127,0.8015860195370673,48,17,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",1,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,16.465487455017865,69,48,46,46,23,0,6,0,0,0,2667,46,57.97826086956522,1675,83,20.180722891566266,-0.9514740542103102,32.27201250826088,-0.020684218569789352,0.701565489310019,26,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",2,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,False,478.64633102109656,2000,1243,1242,1242,584,174,198,0,0,0,85906,1242,69.16747181964573,65589,2709,24.21151716500554,-504.7649005865955,477.14028568980865,-0.40641296343526206,0.3841709224555625,947,,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",4,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,26.75618149805814,95,66,64,64,31,0,7,0,0,0,4415,64,68.984375,3388,143,23.692307692307693,-14.183827682058869,50.308002896195305,-0.22162230753216983,0.7860625452530516,50,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",5,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,33.02376249898225,112,83,81,81,31,0,18,0,0,0,5110,81,63.08641975308642,3421,148,23.114864864864863,-35.077899371452084,25.836066564078475,-0.4330604860673097,0.31896378474170956,45,19,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",8,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,46.58354103192687,161,120,118,118,43,0,14,0,0,0,8012,118,67.89830508474576,5607,257,21.817120622568094,-25.448285204680822,69.69530578550282,-0.21566343393797308,0.5906381846229053,91,18,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",10,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,23.23146950895898,75,52,50,50,25,0,10,0,0,0,3341,50,66.82,2410,108,22.314814814814813,-22.785685258884477,37.425567281233306,-0.45571370517768955,0.7485113456246661,40,17,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",11,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,40.33110345504247,130,92,90,90,40,0,12,0,0,0,5777,90,64.18888888888888,4056,189,21.46031746031746,-29.58070847318965,57.02278606583755,-0.3286745385909961,0.6335865118426395,66,18,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",12,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,False,460.1858295619022,2000,1244,1243,1243,567,190,226,0,0,0,83349,1243,67.0547063555913,61909,2662,23.25657400450789,-524.8816580440284,424.7853516085511,-0.4222700386516721,0.34174203669231784,926,,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",13,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,False,441.3842248849105,2000,1211,1210,1210,597,193,209,0,0,0,84861,1210,70.13305785123967,65678,2674,24.56170531039641,-482.5421292876056,542.223064218041,-0.39879514817157485,0.448118234890943,954,,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",15,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,38.49827179382555,158,113,111,111,47,0,23,0,0,0,7250,111,65.31531531531532,5395,240,22.479166666666668,-36.070606242455824,67.72975414060066,-0.3249604165987011,0.6101779652306366,87,17,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",20,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,52.45253941393457,193,141,139,139,54,0,18,0,0,0,9644,139,69.38129496402878,7163,297,24.117845117845118,-54.49153391159374,85.12545250965452,-0.3920254238244154,0.6124133274075865,106,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",21,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,42.77276717708446,149,113,111,111,38,0,17,0,0,0,7793,111,70.2072072072072,5739,239,24.01255230125523,-39.488418930885636,62.76538105255525,-0.3557515218998706,0.5654538833563536,84,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",24,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,32.085125136887655,109,86,84,84,25,0,13,0,0,0,6008,84,71.52380952380952,5040,183,27.540983606557376,-49.11753043103917,49.41507115257857,-0.5847325051314187,0.5882746565783163,63,18,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",27,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,46.87801217590459,166,118,116,116,50,0,13,0,0,0,8119,116,69.99137931034483,5771,257,22.455252918287936,-25.802648956166756,91.06692016979143,-0.22243662893247204,0.785059656636133,91,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",28,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,66.23869475116953,252,180,178,178,74,0,20,0,0,0,12426,178,69.80898876404494,8508,363,23.43801652892562,-61.512803179836,84.68372915047368,-0.3455775459541348,0.4757512873622117,134,22,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",29,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,43.652350849006325,167,118,116,116,51,0,15,0,0,0,8117,116,69.97413793103448,6215,262,23.721374045801525,-42.09787125774077,77.91870295307814,-0.3629126832563859,0.6717129564920529,95,17,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",30,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,59.680160940857604,225,159,157,157,68,0,21,0,0,0,10847,157,69.08917197452229,8233,342,24.073099415204677,-65.51858699377229,95.97711502996495,-0.41731584072466427,0.6113192040125156,119,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",32,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,39.69025632785633,159,106,104,104,55,0,14,0,0,0,6898,104,66.32692307692308,4646,208,22.33653846153846,-36.626620087774505,48.28478464636722,-0.3521790393055241,0.4642767754458387,68,21,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",33,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
qrrt_grid,True,55.3693949978333,196,146,144,144,52,0,21,0,0,0,10384,144,72.11111111111111,8177,329,24.854103343465045,-67.230301947654,78.38713743966457,-0.4668770968587083,0.5443551211087817,115,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(1, 5, 7, 7, 1, 1)",34,2000,0.1,0.0,512,1,128,False,ibm_torino,1.0,1.0,3,0.0
