iteration,goal_sampled,candidate_count,chosen_idx,chosen_rank,accepted,rejection_reason,tree_nodes
1,False,0,,,False,invalid_random_target,1
2,False,32,"(6, 5, 6, 5, 5, 5)",8,True,,2
3,False,32,"(6, 5, 6, 5, 5, 5)",8,False,duplicate,2
4,False,0,,,False,invalid_random_target,2
5,False,0,,,False,invalid_random_target,2
6,False,32,"(4, 5, 5, 5, 4, 5)",2,True,,3
7,False,32,"(4, 5, 5, 5, 3, 5)",4,True,,4
8,False,32,"(5, 5, 5, 5, 4, 5)",6,True,,5
9,False,0,,,False,invalid_random_target,5
10,False,32,"(4, 5, 5, 5, 3, 6)",3,True,,6
11,False,32,"(4, 5, 5, 5, 4, 6)",5,True,,7
12,False,32,"(5, 5, 6, 5, 5, 5)",7,True,,8
13,False,32,"(5, 5, 5, 5, 4, 6)",5,True,,9
14,False,32,"(7, 5, 6, 5, 4, 5)",6,True,,10
15,False,0,,,False,invalid_random_target,10
16,False,32,"(5, 5, 5, 4, 3, 5)",12,True,,11
17,False,0,,,False,invalid_random_target,11
18,False,32,"(5, 5, 6, 6, 5, 5)",13,True,,12
19,False,32,"(5, 5, 6, 5, 4, 5)",3,True,,13
20,True,32,"(5, 5, 5, 5, 2, 6)",3,True,,14
21,False,32,"(5, 5, 5, 5, 2, 6)",3,False,duplicate,14
22,False,0,,,False,invalid_random_target,14
23,True,32,"(4, 5, 5, 5, 2, 7)",5,True,,15
24,False,0,,,False,invalid_random_target,15
25,False,32,"(4, 5, 6, 5, 5, 5)",6,True,,16
26,False,0,,,False,invalid_random_target,16
27,False,32,"(4, 5, 6, 6, 4, 5)",2,True,,17
28,True,32,"(4, 5, 6, 5, 2, 6)",2,True,,18
29,False,0,,,False,invalid_random_target,18
30,False,32,"(5, 5, 6, 5, 5, 5)",4,False,duplicate,18
31,False,0,,,False,invalid_random_target,18
32,False,32,"(6, 5, 6, 4, 4, 5)",9,True,,19
33,False,32,"(4, 5, 6, 5, 5, 6)",4,True,,20
34,False,32,"(5, 5, 6, 6, 4, 6)",2,True,,21
35,False,32,"(5, 5, 7, 6, 5, 5)",6,True,,22
36,False,0,,,False,invalid_random_target,22
37,False,32,"(4, 5, 5, 5, 5, 6)",7,True,,23
38,False,32,"(5, 5, 6, 5, 5, 6)",3,True,,24
39,False,32,"(5, 5, 5, 5, 5, 6)",5,True,,25
40,False,0,,,False,invalid_random_target,25
41,False,32,"(5, 5, 5, 5, 4, 6)",1,False,duplicate,25
42,False,32,"(5, 5, 6, 5, 5, 5)",10,False,duplicate,25
43,False,0,,,False,invalid_random_target,25
44,False,32,"(5, 5, 7, 6, 5, 5)",6,False,duplicate,25
45,False,32,"(5, 5, 6, 5, 4, 5)",6,False,duplicate,25
46,False,32,"(5, 5, 6, 5, 5, 6)",4,False,duplicate,25
47,False,32,"(3, 5, 5, 5, 4, 6)",5,True,,26
48,False,0,,,False,invalid_random_target,26
49,False,32,"(4, 5, 5, 5, 4, 6)",5,False,duplicate,26
50,False,32,"(4, 5, 6, 5, 4, 5)",2,True,,27
51,False,32,"(5, 5, 7, 6, 5, 6)",4,True,,28
52,False,32,"(6, 5, 6, 5, 4, 5)",7,True,,29
53,False,0,,,False,invalid_random_target,29
54,False,0,,,False,invalid_random_target,29
55,False,32,"(5, 5, 5, 5, 1, 6)",12,True,,30
56,False,0,,,False,invalid_random_target,30
57,False,32,"(3, 5, 6, 5, 4, 6)",5,True,,31
58,False,32,"(6, 5, 6, 6, 4, 5)",10,True,,32
59,False,0,,,False,invalid_random_target,32
60,False,32,"(4, 5, 6, 5, 5, 6)",5,False,duplicate,32
61,False,32,"(6, 5, 6, 5, 5, 6)",6,True,,33
62,False,32,"(4, 5, 6, 5, 3, 5)",2,True,,34
63,False,32,"(5, 5, 5, 5, 1, 7)",5,True,,35
64,False,32,"(4, 5, 5, 6, 4, 6)",10,True,,36
65,False,32,"(5, 5, 5, 5, 1, 8)",13,True,,37
66,False,32,"(5, 5, 7, 4, 4, 5)",5,True,,38
67,False,0,,,False,invalid_random_target,38
68,True,32,"(4, 5, 7, 5, 2, 6)",2,True,,39
69,False,32,"(5, 5, 6, 5, 1, 6)",1,True,,40
70,False,32,"(5, 5, 6, 5, 5, 7)",5,True,,41
71,False,0,,,False,invalid_random_target,41
72,False,32,"(5, 5, 6, 5, 5, 5)",7,False,duplicate,41
73,False,0,,,False,invalid_random_target,41
74,False,32,"(7, 5, 6, 5, 4, 6)",5,True,,42
75,False,0,,,False,invalid_random_target,42
76,True,21,"(5, 6, 7, 5, 2, 6)",1,True,,43
77,False,0,,,False,invalid_random_target,43
78,False,0,,,False,invalid_random_target,43
79,False,32,"(5, 5, 6, 4, 4, 6)",2,True,,44
80,False,32,"(5, 5, 6, 5, 4, 7)",1,True,,45
81,False,0,,,False,invalid_random_target,45
82,False,32,"(5, 5, 6, 6, 4, 6)",2,False,duplicate,45
83,False,32,"(5, 5, 7, 5, 5, 6)",4,True,,46
84,True,21,"(4, 5, 6, 5, 2, 6)",5,False,duplicate,46
85,False,32,"(5, 5, 6, 5, 4, 5)",1,False,duplicate,46
86,False,32,"(5, 5, 5, 4, 3, 5)",12,False,duplicate,46
87,False,32,"(5, 5, 5, 4, 3, 5)",12,False,duplicate,46
88,False,32,"(4, 5, 5, 5, 3, 6)",4,False,duplicate,46
89,False,32,"(5, 5, 5, 5, 4, 5)",1,False,duplicate,46
90,False,0,,,False,invalid_random_target,46
91,False,32,"(5, 5, 5, 4, 3, 5)",12,False,duplicate,46
92,False,0,,,False,invalid_random_target,46
93,False,32,"(5, 5, 6, 5, 5, 6)",4,False,duplicate,46
94,False,32,"(5, 5, 5, 6, 2, 7)",9,True,,47
95,True,21,"(4, 5, 7, 4, 1, 6)",13,True,,48
96,False,32,"(5, 6, 7, 4, 1, 6)",3,True,,49
97,False,32,"(6, 5, 6, 4, 3, 5)",5,True,,50
98,False,0,,,False,invalid_random_target,50
99,False,32,"(5, 5, 5, 5, 3, 5)",5,True,,51
100,False,32,"(5, 5, 6, 5, 5, 6)",12,False,duplicate,51
101,False,0,,,False,invalid_random_target,51
102,False,32,"(4, 5, 6, 5, 3, 6)",1,True,,52
103,False,0,,,False,invalid_random_target,52
104,False,32,"(6, 5, 6, 4, 4, 6)",4,True,,53
105,True,21,"(4, 5, 7, 6, 1, 6)",14,True,,54
106,False,32,"(4, 5, 5, 5, 5, 6)",7,False,duplicate,54
107,False,32,"(7, 5, 6, 5, 4, 5)",6,False,duplicate,54
108,False,32,"(5, 5, 6, 4, 1, 6)",7,True,,55
109,False,32,"(6, 5, 6, 4, 3, 5)",5,False,duplicate,55
110,False,0,,,False,invalid_random_target,55
111,True,21,"(4, 5, 7, 6, 1, 6)",14,False,duplicate,55
112,False,32,"(4, 5, 6, 5, 4, 5)",2,False,duplicate,55
113,False,32,"(5, 5, 6, 5, 4, 5)",6,False,duplicate,55
114,True,21,"(4, 5, 7, 6, 1, 6)",14,False,duplicate,55
115,False,32,"(5, 5, 6, 6, 5, 6)",4,True,,56
116,False,0,,,False,invalid_random_target,56
117,False,0,,,False,invalid_random_target,56
118,True,21,"(5, 6, 7, 5, 2, 6)",1,False,duplicate,56
119,False,0,,,False,invalid_random_target,56
120,False,32,"(4, 5, 6, 5, 1, 8)",2,True,,57
121,False,32,"(5, 5, 6, 4, 3, 5)",6,True,,58
122,False,32,"(5, 6, 7, 5, 1, 6)",12,True,,59
123,False,0,,,False,invalid_random_target,59
124,False,32,"(5, 5, 6, 4, 3, 6)",1,True,,60
125,False,0,,,False,invalid_random_target,60
