iteration,goal_sampled,candidate_count,chosen_idx,chosen_rank,accepted,rejection_reason,tree_nodes
1,False,83,"(5, 5, 6, 6, 5, 5)",14,True,,2
2,False,83,"(5, 5, 5, 5, 6, 6)",3,True,,3
3,False,83,"(4, 5, 5, 6, 5, 5)",40,True,,4
4,False,0,,,False,invalid_random_target,4
5,False,83,"(5, 5, 5, 5, 8, 6)",10,True,,5
6,False,0,,,False,invalid_random_target,5
7,False,83,"(6, 5, 5, 5, 6, 5)",4,True,,6
8,False,0,,,False,invalid_random_target,6
9,False,81,"(5, 6, 6, 7, 5, 5)",32,True,,7
10,False,82,"(5, 5, 6, 5, 8, 7)",5,True,,8
11,True,79,"(6, 6, 6, 5, 8, 7)",1,True,,9
12,False,0,,,False,invalid_random_target,9
13,False,79,"(6, 5, 6, 6, 8, 7)",3,True,,10
14,False,83,"(5, 4, 5, 5, 5, 5)",48,True,,11
15,False,74,"(6, 5, 7, 7, 8, 7)",14,True,,12
16,False,73,"(6, 6, 6, 7, 8, 7)",15,True,,13
17,False,83,"(5, 4, 5, 5, 5, 4)",71,True,,14
18,False,78,"(6, 6, 6, 6, 8, 6)",18,True,,15
19,False,78,"(5, 6, 6, 7, 9, 7)",31,True,,16
20,False,83,"(5, 6, 5, 4, 5, 5)",44,True,,17
21,False,0,,,False,invalid_random_target,17
22,True,73,"(6, 6, 6, 6, 8, 7)",3,True,,18
23,True,74,"(6, 6, 5, 6, 9, 7)",66,True,,19
24,True,74,"(5, 6, 6, 6, 8, 8)",27,True,,20
25,False,0,,,False,invalid_random_target,20
26,False,83,"(5, 5, 5, 6, 6, 5)",1,True,,21
27,False,83,"(5, 6, 6, 7, 7, 5)",1,True,,22
28,True,74,"(6, 7, 6, 5, 8, 7)",35,True,,23
29,False,0,,,False,invalid_random_target,23
30,False,0,,,False,invalid_random_target,23
31,False,82,"(5, 6, 7, 7, 8, 5)",13,True,,24
32,False,83,"(5, 6, 6, 7, 5, 7)",12,True,,25
33,False,0,,,False,invalid_random_target,25
34,False,0,,,False,invalid_random_target,25
35,False,0,,,False,invalid_random_target,25
36,False,82,"(5, 6, 6, 7, 7, 7)",5,True,,26
37,False,74,"(6, 5, 7, 7, 8, 7)",14,False,duplicate,26
38,False,0,,,False,invalid_random_target,26
39,False,0,,,False,invalid_random_target,26
40,False,72,"(5, 4, 6, 5, 5, 5)",5,True,,27
41,False,78,"(7, 6, 6, 8, 8, 7)",59,True,,28
42,False,72,"(6, 4, 4, 5, 5, 5)",46,True,,29
43,False,84,"(5, 6, 5, 4, 6, 6)",4,True,,30
44,False,0,,,False,invalid_random_target,30
45,False,0,,,False,invalid_random_target,30
46,False,79,"(6, 5, 7, 5, 8, 7)",2,True,,31
47,False,83,"(5, 6, 6, 7, 6, 7)",5,True,,32
48,True,74,"(6, 6, 7, 6, 7, 7)",7,True,,33
49,False,84,"(5, 6, 5, 4, 7, 5)",3,True,,34
50,False,83,"(4, 5, 4, 6, 5, 6)",44,True,,35
51,False,83,"(4, 5, 5, 6, 6, 6)",4,True,,36
52,False,84,"(5, 6, 5, 4, 5, 6)",63,True,,37
53,False,54,"(6, 6, 7, 5, 9, 7)",7,True,,38
54,False,0,,,False,invalid_random_target,38
55,False,84,"(5, 6, 6, 5, 5, 5)",6,True,,39
56,False,82,"(5, 5, 6, 5, 8, 6)",6,True,,40
57,False,84,"(5, 6, 5, 6, 7, 5)",9,True,,41
58,False,83,"(4, 5, 4, 5, 5, 7)",36,True,,42
59,True,74,"(6, 6, 7, 7, 8, 7)",6,True,,43
60,False,0,,,False,invalid_random_target,43
61,False,73,"(6, 4, 3, 6, 5, 5)",56,True,,44
62,False,73,"(6, 4, 4, 5, 7, 5)",6,True,,45
63,False,0,,,False,invalid_random_target,45
64,False,84,"(5, 6, 6, 5, 5, 6)",5,True,,46
65,False,0,,,False,invalid_random_target,46
66,False,73,"(6, 4, 3, 5, 7, 4)",71,True,,47
67,False,0,,,False,invalid_random_target,47
68,False,73,"(6, 4, 4, 7, 5, 5)",35,True,,48
69,False,83,"(5, 5, 5, 6, 5, 6)",2,True,,49
70,False,84,"(5, 6, 5, 4, 3, 5)",84,True,,50
71,False,73,"(6, 4, 4, 6, 6, 5)",10,True,,51
72,False,66,"(5, 4, 6, 6, 6, 5)",7,True,,52
73,False,0,,,False,invalid_random_target,52
74,True,74,"(5, 6, 6, 6, 8, 6)",26,True,,53
75,False,82,"(5, 6, 6, 7, 8, 6)",4,True,,54
76,False,83,"(4, 6, 6, 7, 6, 7)",10,True,,55
77,False,0,,,False,invalid_random_target,55
78,False,82,"(5, 5, 6, 5, 8, 6)",6,False,duplicate,55
79,False,74,"(6, 7, 6, 6, 8, 6)",22,True,,56
80,False,83,"(4, 5, 4, 6, 6, 7)",9,True,,57
81,False,82,"(4, 6, 6, 8, 6, 6)",59,True,,58
82,False,72,"(5, 4, 6, 5, 6, 4)",4,True,,59
83,False,67,"(6, 4, 6, 5, 6, 5)",4,True,,60
84,False,84,"(4, 6, 5, 4, 5, 6)",45,True,,61
85,False,73,"(6, 4, 5, 6, 7, 5)",5,True,,62
86,False,83,"(4, 5, 5, 5, 6, 7)",1,True,,63
87,True,74,"(6, 6, 7, 6, 8, 8)",10,True,,64
88,False,0,,,False,invalid_random_target,64
89,False,0,,,False,invalid_random_target,64
90,False,54,"(6, 6, 8, 5, 8, 7)",5,True,,65
91,False,0,,,False,invalid_random_target,65
92,False,67,"(6, 4, 6, 5, 6, 5)",4,False,duplicate,65
93,False,0,,,False,invalid_random_target,65
94,False,84,"(5, 6, 5, 2, 3, 5)",78,True,,66
95,False,0,,,False,invalid_random_target,66
96,False,84,"(5, 6, 5, 5, 3, 4)",45,True,,67
97,False,38,"(6, 5, 7, 6, 8, 6)",11,True,,68
98,False,61,"(6, 4, 6, 6, 6, 6)",6,True,,69
99,False,0,,,False,invalid_random_target,69
100,False,72,"(5, 4, 6, 5, 6, 4)",4,False,duplicate,69
101,False,84,"(5, 6, 5, 2, 5, 5)",2,True,,70
102,True,74,"(6, 6, 5, 6, 8, 8)",68,True,,71
103,False,84,"(5, 6, 5, 3, 6, 5)",76,True,,72
104,False,0,,,False,invalid_random_target,72
105,False,67,"(5, 4, 5, 5, 6, 4)",42,True,,73
106,False,67,"(5, 4, 7, 5, 6, 5)",6,True,,74
